Fecha,Valores,Fecha_Mes
2022-11-01,136.0,2022-11
2022-11-02,106.0,2022-11
2022-11-03,97.0,2022-11
2022-11-04,113.0,2022-11
2022-11-05,112.0,2022-11
2022-11-06,120.0,2022-11
2022-11-07,132.0,2022-11
2022-11-08,128.0,2022-11
2022-11-09,113.0,2022-11
2022-11-10,113.0,2022-11
2022-11-11,110.0,2022-11
2022-11-12,118.0,2022-11
2022-11-13,115.0,2022-11
2022-11-14,150.0,2022-11
2022-11-15,131.0,2022-11
2022-11-16,114.0,2022-11
2022-11-17,103.0,2022-11
2022-11-18,99.0,2022-11
2022-11-19,119.0,2022-11
2022-11-20,116.0,2022-11
2022-11-21,153.0,2022-11
2022-11-22,157.0,2022-11
2022-11-23,120.0,2022-11
2022-11-24,105.0,2022-11
2022-11-25,92.0,2022-11
2022-11-26,106.0,2022-11
2022-11-27,116.0,2022-11
2022-11-28,149.0,2022-11
2022-11-29,137.0,2022-11
2022-11-30,111.0,2022-11
2022-12-01,98.0,2022-12
2022-12-02,123.0,2022-12
2022-12-03,144.0,2022-12
2022-12-04,89.0,2022-12
2022-12-05,151.0,2022-12
2022-12-06,135.0,2022-12
2022-12-07,88.0,2022-12
2022-12-08,88.0,2022-12
2022-12-09,95.0,2022-12
2022-12-10,118.0,2022-12
2022-12-11,133.0,2022-12
2022-12-12,144.0,2022-12
2022-12-13,137.0,2022-12
2022-12-14,150.0,2022-12
2022-12-15,113.0,2022-12
2022-12-16,125.0,2022-12
2022-12-17,130.0,2022-12
2022-12-18,135.0,2022-12
2022-12-19,99.0,2022-12
2022-12-20,87.0,2022-12
2022-12-21,93.0,2022-12
2022-12-22,114.0,2022-12
2022-12-23,115.0,2022-12
2022-12-24,115.0,2022-12
2022-12-25,88.0,2022-12
2022-12-26,96.0,2022-12
2022-12-27,129.0,2022-12
2022-12-28,91.0,2022-12
2022-12-29,95.0,2022-12
2022-12-30,110.0,2022-12
2022-12-31,105.0,2022-12
2023-01-01,106.0,2023-01
2023-01-02,117.0,2023-01
2023-01-03,117.0,2023-01
2023-01-04,94.0,2023-01
2023-01-05,99.0,2023-01
2023-01-06,81.0,2023-01
2023-01-07,114.0,2023-01
2023-01-08,111.0,2023-01
2023-01-09,131.0,2023-01
2023-01-10,95.0,2023-01
2023-01-11,94.0,2023-01
2023-01-12,110.0,2023-01
2023-01-13,102.0,2023-01
2023-01-14,103.0,2023-01
2023-01-15,99.0,2023-01
2023-01-16,141.0,2023-01
2023-01-17,117.0,2023-01
2023-01-18,113.0,2023-01
2023-01-19,98.0,2023-01
2023-01-20,106.0,2023-01
2023-01-21,95.0,2023-01
2023-01-22,117.0,2023-01
2023-01-23,113.0,2023-01
2023-01-24,105.0,2023-01
2023-01-25,113.0,2023-01
2023-01-26,112.0,2023-01
2023-01-27,112.0,2023-01
2023-01-28,114.0,2023-01
2023-01-29,116.0,2023-01
2023-01-30,125.0,2023-01
2023-01-31,125.0,2023-01
2023-02-01,96.0,2023-02
2023-02-02,113.0,2023-02
2023-02-03,118.0,2023-02
2023-02-04,134.0,2023-02
2023-02-05,118.0,2023-02
2023-02-06,130.0,2023-02
2023-02-07,134.0,2023-02
2023-02-08,111.0,2023-02
2023-02-09,96.0,2023-02
2023-02-10,119.0,2023-02
2023-02-11,113.0,2023-02
2023-02-12,129.0,2023-02
2023-02-13,142.0,2023-02
2023-02-14,141.0,2023-02
2023-02-15,140.0,2023-02
2023-02-16,115.0,2023-02
2023-02-17,122.0,2023-02
2023-02-18,121.0,2023-02
2023-02-19,118.0,2023-02
2023-02-20,134.0,2023-02
2023-02-21,147.0,2023-02
2023-02-22,102.0,2023-02
2023-02-23,98.0,2023-02
2023-02-24,107.0,2023-02
2023-02-25,101.0,2023-02
2023-02-26,111.0,2023-02
2023-02-27,124.0,2023-02
2023-02-28,114.0,2023-02
2023-03-01,109.0,2023-03
2023-03-02,77.0,2023-03
