Fecha,Valores_Predichos_Desnormalizados
2024-01-01,112.350716
2024-01-02,106.56627
2024-01-03,95.41071
2024-01-04,114.6681
2024-01-05,105.81988
2024-01-06,104.081665
2024-01-07,123.61532
2024-01-08,132.48442
2024-01-09,101.958
2024-01-10,100.23142
2024-01-11,92.25135
2024-01-12,113.525925
2024-01-13,115.96589
2024-01-14,120.80432
2024-01-15,106.40938
2024-01-16,108.92445
2024-01-17,104.85495
2024-01-18,109.58149
2024-01-19,104.989944
2024-01-20,103.48719
2024-01-21,107.2301
2024-01-22,113.2414
2024-01-23,98.060936
2024-01-24,97.1802
2024-01-25,114.058975
2024-01-26,137.52962
2024-01-27,98.37372
2024-01-28,107.650345
2024-01-29,112.06375
2024-01-30,135.05786
2024-01-31,89.949554
2024-02-01,103.25278
2024-02-02,119.531456
2024-02-03,126.83508
2024-02-04,112.55922
2024-02-05,106.094734
2024-02-06,120.0273
2024-02-07,97.00116
2024-02-08,103.907936
2024-02-09,115.33504
2024-02-10,117.20246
2024-02-11,118.51855
2024-02-12,104.08201
2024-02-13,115.34159
2024-02-14,114.92429
2024-02-15,98.312096
2024-02-16,102.5213
2024-02-17,121.740234
2024-02-18,140.02829
2024-02-19,103.750755
2024-02-20,112.53894
2024-02-21,111.04636
2024-02-22,125.50025
2024-02-23,109.61778
2024-02-24,110.21905
2024-02-25,111.81023
2024-02-26,115.60737
2024-02-27,110.9363
2024-02-28,98.55103
2024-02-29,102.98563
2024-03-01,118.92234
2024-03-02,117.49605
2024-03-03,97.74789
2024-03-04,112.25458
2024-03-05,119.326385
2024-03-06,105.84058
2024-03-07,107.61499
2024-03-08,110.01279
2024-03-09,117.790016
2024-03-10,98.94556
2024-03-11,113.084526
2024-03-12,108.7188
2024-03-13,107.51798
2024-03-14,102.21216
2024-03-15,107.32896
2024-03-16,104.09323
2024-03-17,102.02657
2024-03-18,101.254196
2024-03-19,117.98424
2024-03-20,119.69527
2024-03-21,121.80131
2024-03-22,107.408424
2024-03-23,102.41245
2024-03-24,108.74287
2024-03-25,119.581604
2024-03-26,102.257675
2024-03-27,111.24592
2024-03-28,128.66861
2024-03-29,125.27889
2024-03-30,94.96904
2024-03-31,112.11658
2024-04-01,117.20811
2024-04-02,123.114044
2024-04-03,109.73113
2024-04-04,119.238976
2024-04-05,113.85708
2024-04-06,101.583725
2024-04-07,109.767586
2024-04-08,110.710205
2024-04-09,102.97849
2024-04-10,108.00478
2024-04-11,123.20919
2024-04-12,117.76861
2024-04-13,98.32692
2024-04-14,104.9743
2024-04-15,120.93037
2024-04-16,122.31423
2024-04-17,100.42145
2024-04-18,107.37197
2024-04-19,127.21668
2024-04-20,117.4027
2024-04-21,101.52816
2024-04-22,105.48346
2024-04-23,124.730835
2024-04-24,113.68345
2024-04-25,100.78483
2024-04-26,96.75236
2024-04-27,121.18248
2024-04-28,112.06861
2024-04-29,105.00191
2024-04-30,91.12324
2024-05-01,118.67656
2024-05-02,111.108665
2024-05-03,109.14116
2024-05-04,88.957634
2024-05-05,119.592224
2024-05-06,109.74205
2024-05-07,129.13174
2024-05-08,93.39449
2024-05-09,130.08348
2024-05-10,118.548225
2024-05-11,121.71441
2024-05-12,99.148766
2024-05-13,96.93779
2024-05-14,112.571144
2024-05-15,116.27605
2024-05-16,126.10815
2024-05-17,125.492256
2024-05-18,112.81549
2024-05-19,99.68699
2024-05-20,101.744
2024-05-21,110.92883
2024-05-22,102.90957
2024-05-23,132.54565
2024-05-24,122.69585
2024-05-25,106.277695
2024-05-26,105.80182
2024-05-27,113.9049
2024-05-28,101.18568
2024-05-29,101.52824
2024-05-30,121.10131
2024-05-31,118.89126
2024-06-01,107.79798
2024-06-02,101.14672
2024-06-03,108.00532
2024-06-04,109.55071
2024-06-05,98.634224
2024-06-06,95.33303
2024-06-07,112.04567
2024-06-08,118.276024
2024-06-09,117.55134
2024-06-10,105.25522
2024-06-11,121.694725
2024-06-12,112.3946
2024-06-13,98.721756
2024-06-14,101.82952
2024-06-15,119.4966
2024-06-16,112.78133
2024-06-17,112.48926
2024-06-18,103.557144
2024-06-19,135.02632
2024-06-20,112.987816
2024-06-21,112.7219
2024-06-22,106.36662
2024-06-23,121.83071
2024-06-24,118.060844
2024-06-25,96.61812
2024-06-26,101.40341
2024-06-27,123.888756
2024-06-28,126.4218
2024-06-29,101.5818
2024-06-30,112.50129
2024-07-01,126.3227
2024-07-02,110.076126
2024-07-03,106.48083
2024-07-04,103.03103
2024-07-05,113.66927
2024-07-06,108.90386
2024-07-07,102.952545
2024-07-08,95.45735
2024-07-09,110.487976
2024-07-10,103.27071
2024-07-11,95.21268
2024-07-12,107.90948
2024-07-13,138.78325
2024-07-14,113.17032
2024-07-15,101.43688
2024-07-16,98.94678
2024-07-17,117.23317
2024-07-18,106.53416
2024-07-19,109.322334
2024-07-20,112.69132
2024-07-21,117.50422
2024-07-22,106.74648
2024-07-23,109.10841
2024-07-24,101.33056
2024-07-25,104.63055
2024-07-26,97.4475
2024-07-27,103.709816
2024-07-28,107.32782
2024-07-29,129.03284
2024-07-30,108.45921
2024-07-31,89.26523
2024-08-01,106.551056
2024-08-02,117.32885
2024-08-03,116.15189
2024-08-04,102.78848
2024-08-05,113.329544
2024-08-06,116.312126
2024-08-07,113.58545
2024-08-08,97.39251
2024-08-09,104.27649
2024-08-10,107.770386
2024-08-11,108.673676
2024-08-12,106.27294
2024-08-13,107.886246
2024-08-14,114.0796
2024-08-15,98.56233
2024-08-16,94.1381
2024-08-17,105.01169
2024-08-18,134.82742
2024-08-19,119.297195
2024-08-20,115.78202
2024-08-21,117.76582
2024-08-22,120.70601
2024-08-23,94.15068
2024-08-24,111.68544
2024-08-25,118.58473
2024-08-26,124.49534
2024-08-27,108.57789
2024-08-28,126.40712
2024-08-29,125.96749
2024-08-30,101.50803
2024-08-31,111.16341
2024-09-01,105.49479
2024-09-02,110.69768
2024-09-03,112.44584
2024-09-04,116.72862
2024-09-05,108.02401
2024-09-06,106.3746
2024-09-07,98.112755
2024-09-08,100.82933
2024-09-09,106.65897
2024-09-10,112.41158
2024-09-11,111.74354
2024-09-12,106.72689
2024-09-13,99.2843
2024-09-14,98.031654
2024-09-15,112.81622
2024-09-16,113.234604
2024-09-17,107.51314
2024-09-18,117.442345
2024-09-19,105.18222
2024-09-20,92.78803
2024-09-21,111.560104
2024-09-22,119.806206
2024-09-23,101.77642
2024-09-24,111.37305
2024-09-25,106.8643
2024-09-26,106.402275
2024-09-27,97.0616
2024-09-28,98.85957
2024-09-29,105.660835
2024-09-30,101.68646
2024-10-01,105.004745
2024-10-02,101.35457
2024-10-03,118.45517
2024-10-04,112.70581
2024-10-05,93.71925
2024-10-06,104.95328
2024-10-07,112.74915
2024-10-08,119.28959
2024-10-09,103.72089
2024-10-10,104.81421
2024-10-11,123.36732
2024-10-12,111.91412
2024-10-13,101.1613
2024-10-14,103.641335
2024-10-15,127.27947
2024-10-16,128.55899
2024-10-17,103.18743
2024-10-18,101.969734
2024-10-19,126.135704
2024-10-20,119.61899
2024-10-21,108.379906
2024-10-22,105.634514
2024-10-23,121.12615
2024-10-24,105.08805
2024-10-25,98.07189
2024-10-26,93.05133
