Fecha,Valores_Originales_Desnormalizados
2022-10-25,104.0
2022-10-26,112.0
2022-10-27,136.0
2022-10-28,171.0
2022-10-29,152.0
2022-10-30,142.0
2022-10-31,95.0
2022-11-01,104.0
2022-11-02,91.0
2022-11-03,93.0
2022-11-04,119.0
2022-11-05,120.0
2022-11-06,136.0
2022-11-07,106.0
2022-11-08,97.0
2022-11-09,113.0
2022-11-10,112.0
2022-11-11,120.0
2022-11-12,132.0
2022-11-13,128.0
2022-11-14,113.0
2022-11-15,113.0
2022-11-16,110.0
2022-11-17,118.0
2022-11-18,115.0
2022-11-19,150.0
2022-11-20,131.0
2022-11-21,114.0
2022-11-22,103.0
2022-11-23,99.0
2022-11-24,119.0
2022-11-25,116.0
2022-11-26,153.0
2022-11-27,157.0
2022-11-28,120.0
2022-11-29,105.0
2022-11-30,92.0
2022-12-01,106.0
2022-12-02,116.0
2022-12-03,149.0
2022-12-04,137.0
2022-12-05,111.0
2022-12-06,98.0
2022-12-07,123.0
2022-12-08,144.0
2022-12-09,89.0
2022-12-10,151.0
2022-12-11,135.0
2022-12-12,88.0
2022-12-13,88.0
2022-12-14,95.0
2022-12-15,118.0
2022-12-16,133.0
2022-12-17,144.0
2022-12-18,137.0
2022-12-19,150.0
2022-12-20,113.0
2022-12-21,125.0
2022-12-22,130.0
2022-12-23,135.0
2022-12-24,99.0
2022-12-25,87.0
2022-12-26,93.0
2022-12-27,114.0
2022-12-28,115.0
2022-12-29,115.0
2022-12-30,88.0
2022-12-31,96.0
2023-01-01,129.0
2023-01-02,91.0
2023-01-03,95.0
2023-01-04,110.0
2023-01-05,105.0
2023-01-06,106.0
2023-01-07,117.0
2023-01-08,117.0
2023-01-09,94.0
2023-01-10,99.0
2023-01-11,81.0
2023-01-12,114.0
2023-01-13,111.0
2023-01-14,131.0
2023-01-15,95.0
2023-01-16,94.0
2023-01-17,110.0
2023-01-18,102.0
2023-01-19,103.0
2023-01-20,99.0
2023-01-21,141.0
2023-01-22,117.0
2023-01-23,113.0
2023-01-24,98.0
2023-01-25,106.0
2023-01-26,95.0
2023-01-27,117.0
2023-01-28,113.0
2023-01-29,105.0
2023-01-30,113.0
2023-01-31,112.0
2023-02-01,112.0
2023-02-02,114.0
2023-02-03,116.0
2023-02-04,125.0
2023-02-05,125.0
2023-02-06,96.0
2023-02-07,113.0
2023-02-08,118.0
2023-02-09,134.0
2023-02-10,118.0
2023-02-11,130.0
2023-02-12,134.0
2023-02-13,111.0
2023-02-14,96.0
2023-02-15,119.0
2023-02-16,113.0
2023-02-17,129.0
2023-02-18,142.0
2023-02-19,141.0
2023-02-20,140.0
2023-02-21,115.0
2023-02-22,122.0
2023-02-23,121.0
2023-02-24,118.0
2023-02-25,134.0
2023-02-26,147.0
2023-02-27,102.0
2023-02-28,98.0
2023-03-01,107.0
2023-03-02,101.0
2023-03-03,111.0
2023-03-04,124.0
2023-03-05,114.0
2023-03-06,109.0
2023-03-07,77.0
2023-03-08,84.0
2023-03-09,103.0
2023-03-10,91.0
2023-03-11,132.0
2023-03-12,104.0
2023-03-13,72.0
2023-03-14,97.0
2023-03-15,91.0
2023-03-16,34.0
2023-03-17,56.0
2023-03-18,80.0
2023-03-19,115.0
2023-03-20,93.0
2023-03-21,93.0
2023-03-22,94.0
2023-03-23,96.0
2023-03-24,122.0
2023-03-25,114.0
2023-03-26,139.0
2023-03-27,109.0
2023-03-28,93.0
2023-03-29,106.0
2023-03-30,110.0
2023-03-31,138.0
2023-04-01,155.0
2023-04-02,98.0
2023-04-03,107.0
2023-04-04,108.0
2023-04-05,104.0
2023-04-06,95.0
2023-04-07,101.0
2023-04-08,113.0
2023-04-09,98.0
2023-04-10,104.0
2023-04-11,91.0
2023-04-12,118.0
2023-04-13,109.0
2023-04-14,107.0
2023-04-15,138.0
2023-04-16,113.0
2023-04-17,118.0
2023-04-18,79.0
2023-04-19,95.0
2023-04-20,125.0
2023-04-21,110.0
2023-04-22,106.0
2023-04-23,134.0
2023-04-24,112.0
2023-04-25,92.0
2023-04-26,111.0
2023-04-27,123.0
2023-04-28,133.0
2023-04-29,115.0
2023-04-30,117.0
2023-05-01,94.0
2023-05-02,92.0
2023-05-03,92.0
2023-05-04,110.0
2023-05-05,114.0
2023-05-06,132.0
2023-05-07,135.0
2023-05-08,105.0
2023-05-09,93.0
